AppID;Name;Publisher;Owners;Price;Discount;Tags;Genres;Languages;CCU;ScoreRank;AvgPlaytimeForever;AvgPlaytime2Weeks
19980;Prince of Persia;Ubisoft;200,000 .. 500,000;1,99 USD;80%;;;;32;0;159;0
21800;Tom Clancy's EndWar;Ubisoft;200,000 .. 500,000;2,99 USD;70%;;;;22;0;75;0
23300;Yosumin!;Square Enix;50,000 .. 100,000;2,39 USD;60%;;;;0;0;6;0
23310;The Last Remnant;Square Enix;500,000 .. 1,000,000;0,00 USD;0%;;;;26;0;622;0
23380;Gyromancer;Square Enix;100,000 .. 200,000;2,39 USD;60%;;;;1;0;459;0
24720;SPORE Galactic Adventures;Electronic Arts;500,000 .. 1,000,000;3,99 USD;80%;;;;212;0;564;0
24740;Burnout Paradise: The Ultimate Box;Electronic Arts;1,000,000 .. 2,000,000;0,00 USD;0%;;;;30;0;332;0
24780;SimCity 4 Deluxe Edition;Electronic Arts;1,000,000 .. 2,000,000;4,99 USD;75%;;;;531;0;370;0
24790;Command & Conquer 3: Tiberium Wars;Electronic Arts;1,000,000 .. 2,000,000;9,88 USD;0%;;;;720;0;2316;78
24800;Command & Conquer: Red Alert 3 - Uprising;Electronic Arts;500,000 .. 1,000,000;9,88 USD;0%;;;;530;0;3810;0
24810;Command & Conquer 3: Kane's Wrath;Electronic Arts;500,000 .. 1,000,000;9,88 USD;0%;;;;524;0;7255;8
24840;Medal of Honor: Airborne;Electronic Arts;500,000 .. 1,000,000;0,00 USD;0%;;;;23;0;197;0
24870;Need for Speed: Shift;Electronic Arts;200,000 .. 500,000;0,00 USD;0%;;;;9;0;249;0
24880;The Saboteur;Electronic Arts;100,000 .. 200,000;4,99 USD;50%;;;;59;0;617;124
24960;Battlefield: Bad Company 2;Electronic Arts;2,000,000 .. 5,000,000;0,00 USD;0%;;;;60;0;1825;14
24980;Mass Effect 2 (2010 Edition);Electronic Arts;1,000,000 .. 2,000,000;0,00 USD;0%;;;;18;0;1928;0
28000;Kane & Lynch 2: Dog Days;Square Enix;500,000 .. 1,000,000;9,99 USD;0%;;;;7;0;175;0
33210;Dawn of Discovery;Ubisoft;100,000 .. 200,000;0,00 USD;0%;;;;8;0;47;0
33220;Tom Clancy's Splinter Cell Conviction;Ubisoft;100,000 .. 200,000;39,99 USD;0%;;;;28;0;647;0
33229;Tom Clancy's Splinter Cell Conviction;Ubisoft;500,000 .. 1,000,000;39,99 USD;0%;;;;0;0;0;0
33230;Assassin's Creed 2;Ubisoft;2,000,000 .. 5,000,000;4,99 USD;75%;;;;988;0;1378;36
33320;Prince of Persia: The Forgotten Sands;Ubisoft;200,000 .. 500,000;1,99 USD;80%;;;;29;0;375;0
33460;From Dust;Ubisoft;200,000 .. 500,000;3,74 USD;75%;;;;20;0;280;0
34600;Order of War;Square Enix;100,000 .. 200,000;1,19 USD;85%;;;;6;0;51;0
35000;Mini Ninjas;Square Enix;200,000 .. 500,000;1,49 USD;85%;;;;23;0;128;0
